product_id,sku,product_family,product_group,product_name,launch_year,lifecycle_stage,base_list_price_eur,base_unit_cost_eur,target_margin_pct,product_growth_factor,is_declining_product,is_new_product,launch_date
1000,SKU-1000,IT,Laptop Pro,Laptop Pro Model 01,2023,Growth,10712.0,71017.0,29.0,108.0,0,0,2023-01-01
1001,SKU-1001,IT,Laptop Pro,Laptop Pro Model 02,2019,Decline,96963.0,70377.0,29.0,108.0,1,0,2019-01-01
1002,SKU-1002,IT,Laptop Pro,Laptop Pro Model 03,2019,Mature,109353.0,73388.0,29.0,108.0,0,0,2019-01-01
1003,SKU-1003,IT,Laptop Pro,Laptop Pro Model 04,2022,Mature,102379.0,77088.0,29.0,108.0,0,0,2022-01-01
1004,SKU-1004,IT,Laptop Pro,Laptop Pro Model 05,2022,Growth,109336.0,77902.0,29.0,108.0,0,0,2022-01-01
1005,SKU-1005,IT,Laptop Pro,Laptop Pro Model 06,2023,Growth,115525.0,82915.0,29.0,108.0,0,0,2023-01-01
1006,SKU-1006,IT,Laptop Pro,Laptop Pro Model 07,2023,Growth,103446.0,71556.0,29.0,108.0,0,0,2023-01-01
1007,SKU-1007,IT,Laptop Pro,Laptop Pro Model 08,2019,Mature,133826.0,97736.0,29.0,108.0,0,0,2019-01-01
1008,SKU-1008,IT,Laptop Pro,Laptop Pro Model 09,2020,Mature,10484.0,68518.0,29.0,108.0,0,0,2020-01-01
1009,SKU-1009,IT,Laptop Pro,Laptop Pro Model 10,2019,Mature,83259.0,56406.0,29.0,108.0,0,0,2019-01-01
1010,SKU-1010,IT,Laptop Pro,Laptop Pro Model 11,2021,Decline,78766.0,53785.0,29.0,108.0,1,0,2021-01-01
1011,SKU-1011,IT,Laptop Pro,Laptop Pro Model 12,2023,Mature,9679.0,67663.0,29.0,108.0,0,0,2023-01-01
1012,SKU-1012,IT,Laptop Pro,Laptop Pro Model 13,2022,Growth,105901.0,74832.0,29.0,108.0,0,0,2022-01-01
1013,SKU-1013,IT,Laptop Pro,Laptop Pro Model 14,2023,Mature,75244.0,54626.0,29.0,108.0,0,0,2023-01-01
1014,SKU-1014,IT,Laptop Pro,Laptop Pro Model 15,2021,Mature,90909.0,5775.0,29.0,108.0,0,0,2021-01-01
1015,SKU-1015,IT,Laptop Pro,Laptop Pro Model 16,2022,Growth,72575.0,52743.0,29.0,108.0,0,0,2022-01-01
1016,SKU-1016,IT,Laptop Pro,Laptop Pro Model 17,2022,Mature,10645.0,71357.0,29.0,108.0,0,0,2022-01-01
1017,SKU-1017,IT,Laptop Pro,Laptop Pro Model 18,2018,Mature,108979.0,78417.0,29.0,108.0,0,0,2018-01-01
1018,SKU-1018,IT,Laptop Pro,Laptop Pro Model 19,2023,Growth,82004.0,56184.0,29.0,108.0,0,0,2023-01-01
1019,SKU-1019,IT,Laptop Pro,Laptop Pro Model 20,2020,Mature,88723.0,6229.0,29.0,108.0,0,0,2020-01-01
1020,SKU-1020,IT,Laptop Standard,Laptop Standard Model 01,2022,Growth,66701.0,5290.0,24.0,101.0,0,0,2022-01-01
1021,SKU-1021,IT,Laptop Standard,Laptop Standard Model 02,2018,Growth,51203.0,37668.0,24.0,101.0,0,0,2018-01-01
1022,SKU-1022,IT,Laptop Standard,Laptop Standard Model 03,2019,Mature,66957.0,49393.0,24.0,101.0,0,0,2019-01-01
1023,SKU-1023,IT,Laptop Standard,Laptop Standard Model 04,2021,Mature,5794.0,44265.0,24.0,101.0,0,0,2021-01-01
1024,SKU-1024,IT,Laptop Standard,Laptop Standard Model 05,2021,Growth,50174.0,40634.0,24.0,101.0,0,0,2021-01-01
1025,SKU-1025,IT,Laptop Standard,Laptop Standard Model 06,2024,Growth,5836.0,40562.0,24.0,101.0,0,0,2024-01-01
1026,SKU-1026,IT,Laptop Standard,Laptop Standard Model 07,2023,Mature,53397.0,4113.0,24.0,101.0,0,0,2023-01-01
1027,SKU-1027,IT,Laptop Standard,Laptop Standard Model 08,2019,Decline,70922.0,60026.0,24.0,101.0,1,0,2019-01-01
1028,SKU-1028,IT,Laptop Standard,Laptop Standard Model 09,2020,Mature,56378.0,46923.0,24.0,101.0,0,0,2020-01-01
1029,SKU-1029,IT,Laptop Standard,Laptop Standard Model 10,2023,Mature,64352.0,48837.0,24.0,101.0,0,0,2023-01-01
