product_id,year_month,product_line,product_category,region,units_sold,revenue,unique_customers,avg_discount_pct,units_lag_1m,units_lag_3m,revenue_lag_1m,rolling_units_mean_3m,rolling_units_mean_6m,rolling_units_std_3m,volatility_3m,mom_units_growth_pct,customer_count_growth_pct,trend_slope_3m,trend_slope_6m,stockout_flag,backorder_units,market_demand_index,competitor_pressure_index,campaign_flag,website_visits,demo_requests,risk_factor_sales_drop,risk_factor_customer_drop,risk_factor_volatility,risk_factor_under_trend,next_month_risk_label
1000,2022-01,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,,,,,,,,,,,,0,0.0,258.8429752066116,100.0,1,38,10,0,0,0,0,0.0
1000,2022-02,IT Devices,Laptop Pro,APAC,113.0,70747.88,1.0,0.196,0.0,,0.0,,,,,,,,,0,0.0,270.5882352941177,67.2463768115942,1,33,11,0,0,0,0,2.0
1000,2022-03,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,113.0,,70747.88,56.5,,79.90306627407988,1.4142135623730951,-1.0,-1.0,,,0,0.0,300.0,100.0,1,36,15,1,1,1,1,1.0
1000,2022-04,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.666666666666664,37.666666666666664,65.24058041842771,1.7320508075688774,,,-9.532931148469528e-15,,0,0.0,107.84177654406662,100.0,1,27,9,0,0,1,1,1.0
1000,2022-05,IT Devices,Laptop Pro,APAC,69.0,47046.42,1.0,0.117,0.0,113.0,0.0,37.666666666666664,28.25,65.24058041842771,1.7320508075688774,,,-56.49999999999999,,0,0.0,119.6273291925466,78.50467289719626,1,27,10,0,0,1,0,2.0
1000,2022-06,IT Devices,Laptop Pro,APAC,30.0,18141.87,1.0,0.246,69.0,0.0,47046.42,23.0,36.4,39.83716857408419,1.7320508075688779,-0.5652173913043478,0.0,34.5,,0,0.0,66.66666666666666,84.92462311557789,1,21,10,1,0,1,1,2.0
1000,2022-07,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,30.0,0.0,18141.87,33.0,35.333333333333336,34.59768778401239,1.0484147813337088,-1.0,-1.0,14.999999999999993,0.514285714285717,0,0.0,105.88235294117648,100.0,1,24,6,1,1,1,1,1.0
1000,2022-08,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,69.0,0.0,33.0,35.333333333333336,34.59768778401239,1.0484147813337088,,,-34.50000000000001,-11.599999999999996,0,0.0,50.02452182442374,100.0,1,21,4,0,0,1,0,1.0
1000,2022-09,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,30.0,0.0,10.0,16.5,17.320508075688817,1.7320508075688816,,,-14.999999999999998,-1.114285714285715,0,0.0,114.59227467811158,100.0,1,43,10,0,0,1,0,0.0
1000,2022-10,IT Devices,Laptop Pro,APAC,24.0,17019.91,1.0,0.089,0.0,0.0,0.0,0.0,16.5,0.0,,,,0.0,-6.771428571428571,0,0.0,109.09090909090908,92.0,1,32,8,0,0,0,0,2.0
1000,2022-11,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,24.0,0.0,17019.91,8.0,20.5,13.856406460551074,1.7320508075688843,-1.0,-1.0,12.0,-8.999999999999998,0,0.0,140.8633944411591,100.0,1,23,1,1,1,1,1,1.0
1000,2022-12,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,9.0,13.856406460551074,1.7320508075688843,,,-2.383232787117382e-15,-2.228571428571427,0,0.0,22.75042444821732,100.0,1,34,10,0,0,1,1,1.0
1000,2023-01,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,24.0,0.0,8.0,4.0,13.856406460551074,1.7320508075688843,,,-12.000000000000005,0.6857142857142853,0,0.0,132.11009174311928,100.0,1,23,3,0,0,1,0,0.0
1000,2023-02,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,-0.6857142857142855,0,0.0,130.54545454545453,100.0,1,31,9,0,0,0,0,0.0
1000,2023-03,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,-2.057142857142856,0,0.0,300.0,100.0,1,26,8,0,0,0,0,0.0
1000,2023-04,IT Devices,Laptop Pro,APAC,3.0,2134.62,1.0,0.088,0.0,0.0,0.0,0.0,4.0,0.0,,,,0.0,-3.4285714285714284,0,0.0,70.55900621118012,98.94366197183099,1,21,4,0,0,0,0,1.0
1000,2023-05,IT Devices,Laptop Pro,APAC,66.0,45843.78,2.0,0.1215,3.0,0.0,2134.62,1.0,0.5,1.7320508075694065,1.7320508075694065,21.0,1.0,1.5,0.42857142857142844,0,0.0,173.57232180075033,90.48991354466858,1,26,4,0,0,1,0,2.0
1000,2023-06,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,66.0,0.0,45843.78,23.0,11.5,37.269290307168454,1.6204039263986285,-1.0,-1.0,33.00000000000001,9.685714285714282,0,0.0,43.397626112759646,100.0,1,21,5,1,1,1,1,1.0
1000,2023-07,IT Devices,Laptop Pro,APAC,0.0,0.0,0.0,0.0,0.0,3.0,0.0,23.0,11.5,37.269290307168454,1.6204039263986285,,,-1.5000000000000024,5.742857142857143,0,0.0,86.89801699716713,100.0,1,22,3,0,0,1,1,1.0
1000,2023-08,IT Devices,Laptop Pro,APAC,45.0,26540.64,1.0,0.257,0.0,66.0,0.0,22.0,11.5,38.105117766515306,1.7320508075688776,,,-32.99999999999999,1.7999999999999994,0,0.0,63.487643578141316,85.19736842105263,1,29,7,0,0,1,0,1.0
1000,2023-09,IT Devices,Laptop Pro,APAC,55.0,36721.01,1.0,0.151,45.0,0.0,26540.64,15.0,19.0,25.980762113533174,1.7320508075688783,0.2222222222222222,0.0,22.500000000000007,4.285714285714284,0,0.0,113.05890702625976,89.6421845574388,1,35,14,0,0,1,0,2.0
